Ward,LocationCode,LocationName,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O'Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
1,01-001,Des Voyageurs School ,3281,1503,1,1,199,0,9,82,2,2,,0,1,25,407,1,2,1,7,2,759,2
1,01-002,Convent Glen Catholic School,2948,1176,4,2,162,1,5,69,0,3,1,1,3,25,276,2,1,2,5,6,608,0
1,01-003,Residence Saint-Louis,286,32,0,0,1,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,24,0
1,01-004,Divine Infant Catholic Church,1755,594,0,1,88,0,3,34,0,2,0,0,1,13,133,0,2,0,1,4,311,1
1,01-005,Orleans Wood Elementary School,1930,816,2,0,104,1,4,50,1,1,0,1,1,13,185,0,3,0,5,2,442,1
1,01-006,Convent Glen Elementary School,2497,946,4,2,110,1,3,55,0,2,0,0,0,29,217,0,3,1,3,2,513,1
1,01-007,Orleans Villa,148,91,0,0,19,0,1,2,0,0,0,0,0,0,14,0,0,0,1,0,54,0
1,01-008,Divine Infant School,3248,1319,2,4,175,0,10,78,4,1,0,0,0,26,297,1,2,2,10,8,697,2
1,01-009,Ecole elementaire Reine-des-Bois,3775,1433,6,2,180,0,8,84,3,5,0,0,2,34,346,0,0,2,10,7,742,2
1,01-010,Our Lady of Wisdom School,3292,1346,4,1,169,1,9,74,1,2,1,1,0,30,350,0,0,2,4,4,693,0
1,01-011,Ecole Des Pionniers,4008,1445,4,4,170,0,11,67,0,1,1,2,0,30,339,1,3,0,7,3,802,0
1,01-012,Fallingbrook Community Centre,3368,1261,6,2,151,1,3,55,1,1,3,0,1,19,295,0,3,0,7,4,709,0
1,01-013,St. Francis of Assisi School,3026,1083,2,1,124,3,16,54,1,1,0,0,1,21,240,0,2,2,9,0,605,1
1,01-014,Queenswood Villa,53,25,0,0,2,0,2,0,0,1,0,0,0,0,5,1,0,0,0,0,14,0
1,01-015,St. Peter Catholic High School,3804,1312,5,1,146,3,19,54,1,4,0,0,2,25,305,0,4,2,7,4,729,1
1,01-016,The Promenade,35,19,0,0,2,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,7,0
1,01-017,Portebello Manor,109,61,0,0,12,0,0,3,2,0,0,0,0,0,14,0,0,0,0,0,30,0
1,01-018,Place Beausejour - Adv 1,0,78,1,0,5,0,1,3,0,0,0,0,0,0,16,0,0,1,0,0,51,0
1,01-019,Divine Infant Catholic Church Adv 1,0,672,1,5,44,1,15,89,0,0,0,0,1,12,170,1,1,0,3,2,327,0
1,01-020,Ottawa Public Library (Cumberland) - Adv 2,0,1096,9,1,55,2,10,83,2,0,0,1,1,30,319,1,1,1,5,4,568,3
10,10-001,Prince of Peace Catholic School,2789,626,13,8,65,1,1,29,3,1,1,1,0,14,115,5,3,1,4,2,357,2
10,10-002,Dunlop Public School,2077,816,1,1,124,1,2,31,1,0,2,1,0,22,252,0,2,0,4,1,368,3
10,10-003,Greenboro Community Centre,3754,1342,12,12,203,10,3,53,3,2,2,2,1,26,282,1,1,0,9,9,711,0
10,10-004,St. Marguerite d'Youville Catholic School,3585,1207,6,9,129,1,5,57,1,2,0,0,0,23,273,1,4,3,5,7,680,1
10,10-005,Robert Bateman Public School,3466,1244,8,2,116,5,3,49,1,2,0,1,0,28,313,0,3,5,7,0,700,1
10,10-006,St. Thomas More Catholic School,2671,1000,9,10,82,0,1,44,1,0,2,0,0,19,273,5,2,1,1,1,549,0
10,10-007,Hunt Club Manor,60,41,0,0,10,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,18,0
10,10-008,Elizabeth Park Public School,1940,515,2,1,77,1,1,24,0,0,1,0,0,10,114,1,1,1,1,1,279,0
10,10-009,Sawmill Creek Community Centre,1557,306,5,3,47,0,0,16,3,0,0,0,0,7,65,0,0,0,2,0,158,0
10,10-010,Ecole elementaire publique Gabrielle-Roy,1642,594,7,0,90,1,2,43,1,0,0,0,0,22,162,0,1,0,1,2,262,0
10,10-011,St. Bernard Catholic School,3178,1013,4,6,139,0,2,77,0,4,1,0,2,30,234,0,1,0,3,8,500,2
10,10-012,Ecole elementaire Sainte-Bernadette,2950,1077,5,1,124,2,6,64,0,2,1,2,1,28,331,2,1,1,3,1,502,0
10,10-013,Bridlewood Retirement Home,29,28,0,0,3,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,10,0
10,10-014,Heatherington Manor - Adv 1,0,33,1,2,0,1,3,6,0,1,0,0,0,3,4,0,0,0,0,0,12,0
10,10-015,Walkley Manor - Adv 1,0,88,4,0,4,1,5,12,0,2,0,1,1,5,14,0,1,1,0,2,35,0
10,10-016,Strathmore Towers B - Adv 1,0,99,0,0,15,0,0,16,0,0,0,0,0,3,28,0,0,0,0,1,36,0
10,10-017,Strathmore Towers A - Adv 1,0,88,0,0,5,0,0,16,0,1,0,0,1,1,26,0,0,0,0,0,38,0
10,10-018,Atrium I - Adv 1,0,77,0,0,6,0,0,4,0,0,0,0,0,2,35,0,0,0,0,0,30,0
10,10-019,Atrium II - Adv 1,0,115,0,0,4,0,0,25,0,1,1,0,0,0,27,0,1,0,0,0,56,0
10,10-020,Greenboro Community Centre - Adv 1,0,576,3,5,43,0,1,67,0,1,1,0,1,8,138,1,1,3,3,2,296,2
10,10-021,Greenboro Community Centre - Adv 2,0,554,3,2,37,0,2,47,1,1,0,0,0,14,153,0,1,0,1,1,291,0
10,10-022,Sawmill Creek Community Centre - Adv 2,0,493,1,0,55,1,2,44,0,0,0,0,0,22,143,0,1,0,2,1,219,2
11,11-001,Robert Hopkins Public School,2377,1180,5,0,184,0,4,52,0,2,1,0,0,17,310,3,2,1,2,2,595,0
11,11-002,Colonel By Secondary School,2474,959,7,2,150,0,7,52,0,0,0,0,0,24,197,1,0,0,2,2,515,0
11,11-003,Extendicare Laurier Manor,218,41,1,0,4,0,4,4,1,0,0,1,1,2,7,0,1,0,2,0,12,1
11,11-004,Rothwell Heights Terrace,126,50,1,0,1,0,0,3,0,1,0,0,0,0,13,1,1,1,2,1,25,0
11,11-005,Ecole elementaire catholique La Verendrye,3177,1487,2,1,226,2,6,63,0,1,0,0,0,48,341,1,1,1,7,6,780,1
11,11-006,Cyrville Community Centre,2545,550,7,12,41,1,7,24,1,2,0,0,0,10,99,0,2,2,5,1,335,1
11,11-007,Carson Grove Elementary School,2606,1107,4,2,160,0,14,56,1,1,0,0,0,23,221,6,1,3,4,5,606,0
11,11-008,Ogilvie Villa,57,38,0,0,2,0,5,3,0,0,0,1,0,0,14,0,0,0,0,1,12,0
11,11-009,Camilla Gardens Retirement Residence,56,31,0,0,4,0,7,2,0,0,0,0,1,0,9,0,0,1,1,0,6,0
