Mayor,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
 Des Voyageurs School ,3281,1503,1,1,199,0,9,82,2,2,,0,1,25,407,1,2,1,7,2,759,2
Convent Glen Catholic School,2948,1176,4,2,162,1,5,69,0,3,1,1,3,25,276,2,1,2,5,6,608,0
 Residence Saint-Louis,286,32,0,0,1,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,24,0
 Divine Infant Catholic Church,1755,594,0,1,88,0,3,34,0,2,0,0,1,13,133,0,2,0,1,4,311,1
 Orleans Wood Elementary School,1930,816,2,0,104,1,4,50,1,1,0,1,1,13,185,0,3,0,5,2,442,1
 Convent Glen Elementary School,2497,946,4,2,110,1,3,55,0,2,0,0,0,29,217,0,3,1,3,2,513,1
 Orleans Villa,148,91,0,0,19,0,1,2,0,0,0,0,0,0,14,0,0,0,1,0,54,0
 Divine Infant School,3248,1319,2,4,175,0,10,78,4,1,0,0,0,26,297,1,2,2,10,8,697,2
 Ecole elementaire Reine-des-Bois,3775,1433,6,2,180,0,8,84,3,5,0,0,2,34,346,0,0,2,10,7,742,2
 Our Lady of Wisdom School,3292,1346,4,1,169,1,9,74,1,2,1,1,0,30,350,0,0,2,4,4,693,0
 Ecole Des Pionniers,4008,1445,4,4,170,0,11,67,0,1,1,2,0,30,339,1,3,0,7,3,802,0
 Fallingbrook Community Centre,3368,1261,6,2,151,1,3,55,1,1,3,0,1,19,295,0,3,0,7,4,709,0
 St. Francis of Assisi School,3026,1083,2,1,124,3,16,54,1,1,0,0,1,21,240,0,2,2,9,0,605,1
 Queenswood Villa,53,25,0,0,2,0,2,0,0,1,0,0,0,0,5,1,0,0,0,0,14,0
 St. Peter Catholic High School,3804,1312,5,1,146,3,19,54,1,4,0,0,2,25,305,0,4,2,7,4,729,1
 The Promenade,35,19,0,0,2,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,7,0
 Portebello Manor,109,61,0,0,12,0,0,3,2,0,0,0,0,0,14,0,0,0,0,0,30,0
 Place Beausejour - Adv 1,0,78,1,0,5,0,1,3,0,0,0,0,0,0,16,0,0,1,0,0,51,0
 Divine Infant Catholic Church Adv 1,0,672,1,5,44,1,15,89,0,0,0,0,1,12,170,1,1,0,3,2,327,0
 Ottawa Public Library (Cumberland) - Adv 2,0,1096,9,1,55,2,10,83,2,0,0,1,1,30,319,1,1,1,5,4,568,3
 Polling,37563,14540,41,21,1819,11,107,767,16,27,6,5,12,290,3448,6,25,16,76,46,7790,11
 Adv Vote,75126,1768,10,6,99,3,25,172,2,0,0,1,2,42,489,2,2,1,8,6,895,3
Total,37563,16308,51,27,1918,14,132,939,18,27,6,6,14,332,3937,8,27,17,84,52,8685,14
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 1,Reg. Voters,Total Votes,Renee Greenberg,Bob Monette,Jennifer Robitaille,Fred Sherwin,,,,,,,,,,,,,,,,
 Des Voyageurs School ,3281,1491,14,917,191,369,,,,,,,,,,,,,,,,
Convent Glen Catholic School,2948,1169,20,657,182,310,,,,,,,,,,,,,,,,
 Residence Saint-Louis,286,31,3,25,2,1,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church,1755,587,18,338,123,108,,,,,,,,,,,,,,,,
 Orleans Wood Elementary School,1930,813,11,427,137,238,,,,,,,,,,,,,,,,
 Convent Glen Elementary School,2497,944,11,507,180,246,,,,,,,,,,,,,,,,
 Orleans Villa,148,92,2,56,11,23,,,,,,,,,,,,,,,,
 Divine Infant School,3248,1311,9,845,207,250,,,,,,,,,,,,,,,,
 Ecole elementaire Reine-des-Bois,3775,1429,16,989,175,249,,,,,,,,,,,,,,,,
 Our Lady of Wisdom School,3292,1340,11,874,172,283,,,,,,,,,,,,,,,,
 Ecole Des Pionniers,4008,1429,21,813,184,411,,,,,,,,,,,,,,,,
 Fallingbrook Community Centre,3368,1251,11,629,173,438,,,,,,,,,,,,,,,,
 St. Francis of Assisi School,3026,1078,19,556,145,358,,,,,,,,,,,,,,,,
 Queenswood Villa,53,24,2,14,8,0,,,,,,,,,,,,,,,,
 St. Peter Catholic High School,3804,1314,13,780,176,345,,,,,,,,,,,,,,,,
 The Promenade,35,19,0,14,5,0,,,,,,,,,,,,,,,,
 Portebello Manor,109,57,2,32,17,6,,,,,,,,,,,,,,,,
 Place Beausejour - Adv 1,0,77,1,72,4,0,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church Adv 1,0,666,10,451,98,107,,,,,,,,,,,,,,,,
 Ottawa Public Library (Cumberland) - Adv 2,0,1093,18,732,136,207,,,,,,,,,,,,,,,,
 Polling,37563,14456,184,8545,2092,3635,,,,,,,,,,,,,,,,
 Adv Vote,75126,1759,28,1183,234,314,,,,,,,,,,,,,,,,
Total,37563,16215,212,9728,2326,3949,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 8,Reg. Voters,Total Votes,Lale Eskicioglu,John Shea,,,,,,,,,,,,,,,,,,
 Des Voyageurs School ,1638,677,184,493,,,,,,,,,,,,,,,,,,
Convent Glen Catholic School,1613,605,136,469,,,,,,,,,,,,,,,,,,
 Residence Saint-Louis,138,1,0,1,,,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church,991,295,67,228,,,,,,,,,,,,,,,,,,
 Orleans Wood Elementary School,1065,415,113,302,,,,,,,,,,,,,,,,,,
 Convent Glen Elementary School,1168,425,104,321,,,,,,,,,,,,,,,,,,
 Orleans Villa,121,47,5,42,,,,,,,,,,,,,,,,,,
 Divine Infant School,1457,552,81,471,,,,,,,,,,,,,,,,,,
 Ecole elementaire Reine-des-Bois,2029,664,149,515,,,,,,,,,,,,,,,,,,
 Our Lady of Wisdom School,1585,585,77,508,,,,,,,,,,,,,,,,,,
 Ecole Des Pionniers,2041,618,109,509,,,,,,,,,,,,,,,,,,
 Fallingbrook Community Centre,1770,600,117,483,,,,,,,,,,,,,,,,,,
 St. Francis of Assisi School,1631,493,93,400,,,,,,,,,,,,,,,,,,
 Queenswood Villa,24,9,0,9,,,,,,,,,,,,,,,,,,
 St. Peter Catholic High School,1995,592,142,450,,,,,,,,,,,,,,,,,,
 The Promenade,25,15,0,15,,,,,,,,,,,,,,,,,,
 Portebello Manor,109,25,1,24,,,,,,,,,,,,,,,,,,
 Place Beausejour - Adv 1,0,23,5,18,,,,,,,,,,,,,,,,,,
