Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Ottawa Montessori School,1489,583,3,2,133,0,3,27,0,0,0,0,0,8,113,0,1,0,2,3,285,3
Riverview Public School,1787,586,2,2,112,1,3,29,0,3,0,0,0,11,93,0,1,0,1,8,319,1
Perley Rideau Health Centre,443,105,2,0,7,0,5,7,0,2,1,1,1,4,32,2,2,0,0,1,38,0
Ottawa General Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecole secondaire Franco-Cite,1789,580,3,14,103,1,2,31,0,0,1,0,0,14,127,0,2,0,2,4,274,2
Pleasant Park Public School,3023,1275,2,1,287,2,3,54,1,1,0,0,0,29,265,0,0,0,6,5,619,0
Rideau Park United Church,2768,1274,4,4,304,1,7,54,0,0,0,0,0,18,257,1,0,0,3,5,614,2
Jim Durrell Complex,2854,1101,4,4,197,3,1,54,1,0,0,0,1,21,185,2,1,0,3,6,618,0
St. Patrick's Intermediate School,2977,1102,3,2,187,0,1,48,0,2,1,0,0,19,252,2,0,0,5,3,576,1
Heron Road Community Centre,1868,367,1,35,36,1,3,10,1,2,0,1,2,7,40,2,1,1,4,5,213,2
Ecole elementaire publique Marie-Curie,2455,990,3,0,182,1,4,47,1,0,1,0,0,30,217,0,1,1,2,3,496,1
Canterbury Recreation Complex,3508,1270,5,1,216,0,4,79,0,0,0,0,2,30,270,0,0,1,8,3,647,4
St. Luke Elementary School,2151,615,3,10,84,0,4,45,0,1,0,0,2,9,120,1,0,0,0,2,333,1
Hawthorne United Church,2005,477,6,0,49,0,6,26,0,0,0,0,0,14,99,0,0,1,3,3,270,0
Oakpark Retirement Community - Adv 1,0,57,1,0,1,0,1,12,0,0,0,0,0,0,14,0,0,0,0,0,28,0
Russell Manor - Adv 1,0,63,0,5,8,0,1,4,1,0,0,0,0,0,11,0,2,2,0,0,27,2
Alta Vista Manor - Adv 1,0,35,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,27,0
Playfair Towers - Adv 1,0,35,0,0,1,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,13,0
Vista On The Park - Adv 1,0,119,0,1,10,1,4,11,0,0,0,0,0,2,29,0,0,0,0,0,61,0
Playfair Residences - Adv 1,0,85,0,0,7,0,1,10,0,0,0,0,0,3,16,0,0,0,2,0,46,0
Riverbank Apartments - Adv 1,0,33,0,0,4,0,0,4,0,0,0,0,0,1,11,0,0,0,1,0,12,0
Waterford Apartments - Adv 1,0,40,1,0,4,0,0,2,0,0,0,0,0,1,7,0,0,0,1,0,24,0
Ellwood House - Adv 1,0,17,0,0,4,0,0,3,0,0,0,0,0,1,3,0,0,0,0,0,6,0
The Renaissance - Adv 1,0,72,0,0,9,0,0,11,1,0,0,0,0,2,19,2,0,0,0,0,28,0
Pleasant Park Place (2035 Othello) - Adv 1,0,50,1,2,0,0,2,4,0,0,0,0,0,0,13,0,0,0,0,0,28,0
Pleasant Park Place (2025 Othello) - Adv 1,0,32,0,1,1,0,1,5,0,0,0,0,0,0,10,0,0,0,0,0,14,0
Canterbury Square (830 Canterbury) - Adv 1,0,61,0,0,5,0,2,7,0,0,0,0,0,1,6,0,0,0,0,0,40,0
Canterbury Square (850 Canterbury) - Adv 1,0,34,0,0,2,0,1,8,0,0,0,0,0,0,5,0,1,0,0,0,17,0
